Jet Index,Is Tau
253,[1 0 1]
254,[1 0 1]
255,[0 1 1]
256,[0 1 1]
257,[1 1 0]
258,[0 1 1]
259,[0 1 1]
260,[1 0 1]
261,[1 1 0]
262,[0 1 1]
263,[1 1 0]
264,[0 1 1]
265,[1 0 1]
266,[0 1 1]
267,[1 1 0]
268,[1 1 0]
269,[1 0 1]
270,[0 1 1]
271,[1 1 0 0]
272,[0 1 1]
273,[1 1 0]
274,[1 1 0 0]
275,[0 1 0 1]
276,[1 0 1 0]
277,[1 1 0]
278,[1 0 1]
279,[1 0 1 0]
280,[1 1 0]
281,[1 1 0]
282,[1 0 1]
283,[0 1 1]
284,[1 1 0]
285,[1 1 0]
286,[0 1 1]
287,[1 0 1]
288,[1 1 0]
289,[1 0 1]
290,[1 1 0]
291,[1 1 0]
292,[1 1 0]
293,[0 1 1 0]
294,[0 0 1 1]
295,[1 0 0 1]
296,[1 0 1]
297,[1 1 0]
298,[1 1 0]
299,[0 1 1]
Accuracy,0.5492063492063493
