Event Index,Is Tau
218,"[1, 1, 0]"
219,"[1, 1, 0]"
220,"[1, 0, 1, 0]"
221,"[0, 1, 1]"
222,"[1, 0, 1]"
223,"[0, 1, 1]"
224,"[0, 1, 1]"
225,"[1, 0, 0, 1]"
226,"[0, 1, 1]"
227,"[1, 1, 0]"
228,"[1, 1, 0]"
229,"[1, 0, 1]"
230,"[1, 0, 1]"
231,"[1, 0, 1]"
232,"[1, 1, 0]"
233,"[1, 0, 1]"
234,"[1, 1, 0]"
235,"[1, 1, 0]"
236,"[1, 0, 1]"
237,"[1, 1, 0, 0]"
238,"[1, 1, 0]"
239,"[1, 0, 1]"
240,"[1, 0, 1]"
241,"[0, 1, 1]"
242,"[1, 0, 1, 0]"
243,"[1, 1, 0]"
244,"[1, 0, 1]"
245,"[1, 1, 0]"
246,"[1, 1, 0]"
247,"[0, 1, 1]"
248,"[1, 0, 1]"
249,"[1, 1, 0]"
250,"[1, 0, 1]"
251,"[1, 1, 0]"
252,"[0, 1, 1]"
253,"[1, 0, 1]"
254,"[0, 1, 1]"
255,"[1, 1, 0]"
256,"[1, 0, 1]"
257,"[1, 0, 1]"
258,"[1, 1, 0]"
259,"[1, 0, 1]"
260,"[1, 1, 0]"
261,"[0, 1, 1]"
262,"[1, 0, 1]"
263,"[1, 0, 1]"
264,"[0, 1, 1]"
265,"[1, 1, 0]"
266,"[1, 1, 0]"
267,"[1, 0, 1]"
268,"[1, 1, 0]"
269,"[1, 1, 0]"
270,"[1, 0, 1]"
271,"[1, 1, 0, 0]"
272,"[1, 1, 0]"
273,"[0, 1, 1]"
274,"[1, 1, 0, 0]"
275,"[1, 0, 1, 0]"
276,"[1, 0, 1, 0]"
277,"[1, 0, 1]"
278,"[1, 1, 0]"
279,"[0, 0, 1, 1]"
280,"[1, 1, 1]"
281,"[1, 1, 0]"
282,"[1, 1, 0]"
283,"[1, 0, 1]"
284,"[1, 0, 1]"
285,"[0, 1, 1]"
286,"[1, 1, 0]"
287,"[1, 1, 0]"
288,"[1, 1, 0]"
289,"[0, 1, 1]"
290,"[1, 1, 0]"
291,"[1, 0, 1]"
292,"[0, 1, 1]"
293,"[1, 1, 0, 0]"
294,"[1, 0, 1, 0]"
295,"[0, 0, 1, 1]"
296,"[1, 1, 1]"
297,"[0, 1, 1]"
298,"[1, 1, 0]"
299,"[1, 1, 0]"
Accuracy,0.6931216931216931
Time,0.083s
