Event Index,Is Tau
148,[1 1 0]
149,[1 1 0]
150,[0 1 0 1]
151,[0 1 1]
152,[0 1 1]
153,[1 0 1]
154,[0 1 1]
155,[0 1 1 0]
156,[1 0 1]
157,[0 1 1]
158,[1 1 0]
159,[1 0 1]
160,[1 0 1]
161,[1 1 0]
162,[1 0 0 1]
163,[1 1 0]
164,[1 1 0 0]
165,[1 0 1]
166,[1 0 1]
167,[1 1 0]
168,[0 1 0 0 1]
169,[0 1 1]
170,[1 0 1]
171,[1 1 0]
172,[1 1 0]
173,[0 1 1]
174,[0 1 1]
175,[1 1 0]
176,[1 1 0 0]
177,[0 1 1]
178,[1 0 1]
179,[1 0 1]
180,[0 1 1]
181,[0 1 1 0]
182,[1 1 0]
183,[1 1 0]
184,[1 1 0]
185,[1 1 0]
186,[0 1 1]
187,[0 1 1]
188,[1 1 0]
189,[0 1 1]
190,[0 1 1]
191,[1 1 0]
192,[0 1 1]
193,[0 1 1]
194,[1 0 1]
195,[0 1 1]
196,[0 1 1]
197,[1 1 0]
198,[1 1 0]
199,[1 1 0]
200,[0 1 1]
201,[0 1 1]
202,[0 1 1]
203,[0 1 1]
204,[1 0 1]
205,[0 1 1]
206,[0 1 0 1]
207,[1 0 1]
208,[1 0 1]
209,[1 0 1]
210,[1 0 1]
211,[1 1 0]
212,[0 1 1]
213,[1 1 0]
214,[0 1 1]
215,[1 1 0]
216,[0 1 1]
217,[1 1 0]
218,[1 0 1]
219,[1 1 0]
220,[1 1 0]
221,[1 1 0]
222,[0 1 1]
223,[1 1 0]
224,[1 1 0]
225,[1 0 1]
226,[0 1 1]
227,[1 0 1]
228,[1 0 1]
229,[1 1 0]
230,[1 0 1]
231,[0 1 1]
232,[1 0 1]
233,[0 1 1]
234,[0 1 1 0]
235,[0 1 1]
236,[1 0 1]
237,[0 0 0 1 1]
238,[1 0 1]
239,[1 1 0]
240,[1 1 0]
241,[0 1 1]
242,[1 1 0]
243,[1 0 1]
244,[0 1 1]
245,[0 0 1 1]
246,[1 1 0]
247,[1 1 0]
248,[0 1 1]
249,[1 1 0 0]
250,[0 1 1 0]
251,[1 1 0]
252,[1 1 0]
253,[0 1 1]
254,[0 1 1 0]
255,[1 1 0]
256,[1 0 1]
257,[1 1 0]
258,[0 1 1]
259,[1 0 1]
260,[0 1 1]
261,[1 1 0]
262,[1 0 1]
263,[0 1 1 0 0]
264,[1 0 1]
265,[1 0 1]
266,[1 0 1]
267,[1 0 1 0]
268,[1 1 0]
269,[1 0 1]
270,[1 0 1]
271,[1 0 0 1]
272,[0 1 1]
273,[1 1 0]
274,[1 1 0]
275,[1 0 1]
276,[1 0 1]
277,[0 1 1]
278,[0 1 1]
279,[0 1 1]
280,[1 1 0]
281,[0 1 1]
282,[1 0 1]
283,[0 1 1]
284,[1 1 0]
285,[1 0 1]
286,[1 1 0 0]
287,[0 1 1]
288,[1 1 0]
289,[0 1 1]
290,[1 0 1]
291,[1 1 0]
292,[1 1 0]
293,[1 0 1]
294,[1 0 1]
295,[1 0 1]
296,[0 1 1]
297,[0 1 1]
298,[1 0 1]
299,[1 0 1]
Accuracy,0.5717344753747323
Time,8.576min
